"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Grünau-Nord,Straftaten insgesamt,"1034","956","893","880","735","725","722","739","726","798","827","640","818","712","712","728","735","746","729"
Miltitz,Straftaten insgesamt,"100","148","90","137","128","93","149","138","132","163","184","87","91","97","110","112","105","79","88"
Lindenau,Straftaten insgesamt,"764","760","724","949","884","1001","992","1109","1198","1105","1298","1174","1210","1206","1089","1098","1111","1127","1114"
Altlindenau,Straftaten insgesamt,"1806","1612","1659","1715","1801","1651","1868","2173","2236","2444","3041","3023","3052","2632","2323","2329","2344","2228","2185"
Neulindenau,Straftaten insgesamt,"862","763","696","839","762","588","669","753","775","772","1050","977","1072","803","720","827","646","778","816"
Leutzsch,Straftaten insgesamt,"776","939","773","837","732","739","890","1039","1041","1026","1357","1126","1024","983","862","913","986","898","825"
Böhlitz-Ehrenberg,Straftaten insgesamt,"551","597","605","607","684","534","513","516","521","631","736","645","721","706","610","535","536","537","446"
Burghausen-Rückmarsdorf,Straftaten insgesamt,"489","389","399","427","383","283","389","367","349","454","424","402","385","371","346","299","296","288","281"
Möckern,Straftaten insgesamt,"1867","1455","1494","1496","1808","1681","1944","2351","1984","1963","2284","2243","2569","3617","3444","3185","2400","2858","3151"
Wahren,Straftaten insgesamt,"687","675","542","649","603","432","421","470","528","508","538","609","592","619","555","511","458","387","442"
Lützschena-Stahmeln,Straftaten insgesamt,"266","200","232","279","256","236","261","289","296","316","399","367","476","771","652","798","690","486","595"
Lindenthal,Straftaten insgesamt,"411","415","375","280","257","215","254","282","321","321","304","258","386","273","315","328","346","316","282"
Gohlis-Süd,Straftaten insgesamt,"1787","1491","1419","1479","1420","1481","1777","1870","1921","2069","2194","2209","2193","2206","1696","1910","1808","1577","1350"
Gohlis-Mitte,Straftaten insgesamt,"883","836","872","896","868","875","882","856","847","849","1106","980","1098","1080","854","936","936","844","650"
Gohlis-Nord,Straftaten insgesamt,"625","721","458","645","705","453","356","450","497","635","654","466","569","535","691","523","758","578","600"
Eutritzsch,Straftaten insgesamt,"1736","1791","1792","1703","1650","1510","1543","1572","1893","1678","1729","1751","2319","2166","2089","1703","1357","1451","1861"
Seehausen,Straftaten insgesamt,"676","650","578","632","468","375","462","501","624","649","638","655","906","612","461","547","447","433","693"
Wiederitzsch,Straftaten insgesamt,"457","484","377","383","434","402","438","449","516","544","564","498","535","506","442","369","318","368","442"
Mitte,Straftaten insgesamt,"16074","15206","13104","13756","12769","13181","13777","15273","16385","17147","19517","18951","23557","21395","18494","18504","16798","13848","16499"
Nordost,Straftaten insgesamt,"3183","3207","3433","3344","3248","3127","3467","3657","4018","4034","4518","4130","6509","4294","4128","4175","4572","4470","4322"
Ost,Straftaten insgesamt,"8241","7399","7805","7742","7700","7649","7979","7472","8202","8778","9841","9840","11792","10377","10224","9951","10462","9927","9632"
Südost,Straftaten insgesamt,"4465","4562","4322","5147","5397","4685","4568","4922","5576","5115","6094","5460","6633","5961","6053","6184","6148","5485","5475"
Süd,Straftaten insgesamt,"5977","5326","4771","5996","5666","4885","5338","5413","6211","5673","6245","5744","7242","5717","5002","5310","4959","4638","4462"
Südwest,Straftaten insgesamt,"4943","4427","4276","4489","4531","5020","4722","5643","5128","5179","5959","5772","6531","6143","4988","5039","4577","4824","4419"
West,Straftaten insgesamt,"5125","4895","4607","4356","4038","3649","4045","4231","4574","5028","5438","4927","5580","4937","4894","4792","4754","4726","4891"
Alt-West,Straftaten insgesamt,"5248","5060","4856","5374","5246","4796","5321","5957","6120","6432","7906","7347","7464","6701","5950","6001","5919","5856","5667"
Nordwest,Straftaten insgesamt,"3231","2745","2643","2704","2924","2564","2880","3392","3129","3108","3525","3477","4023","5280","4966","4822","3894","4047","4470"
Nord,Straftaten insgesamt,"6164","5973","5496","5738","5545","5096","5458","5698","6298","6424","6885","6559","7620","7105","6233","5988","5624","5251","5596"
Stadt Leipzig,Straftaten insgesamt,"68985","64187","60961","64855","61201","58104","60534","64728","69055","70451","79235","73614","88615","79383","72045","71696","68677","64004","66503"
Zentrum,Diebstahl,"2789","2528","2206","1842","1499","1539","1681","2209","2448","2750","3242","2600","3114","3165","2777","2917","2507","1590","2279"
Zentrum-Ost,Diebstahl,"1134","937","929","935","1075","615","730","919","922","1103","1028","1194","1559","1687","1424","1555","1593","1262","1945"
Zentrum-Südost,Diebstahl,"1323","1306","1107","1634","1138","1015","1213","1274","1387","1286","1467","1383","1775","2070","1607","1543","1332","906","969"
Zentrum-Süd,Diebstahl,"1022","931","857","959","746","719","880","899","1178","1155","1370","1077","1559","1339","1038","1165","869","729","603"
Zentrum-West,Diebstahl,"1136","1340","776","997","715","730","785","780","808","813","1080","982","1133","1257","1119","1094","926","677","660"
Zentrum-Nordwest,Diebstahl,"662","574","517","684","546","555","557","713","614","647","798","824","964","1075","709","877","616","575","471"
Zentrum-Nord,Diebstahl,"523","565","504","692","1006","1395","1323","1477","1561","1885","1901","1878","2107","2086","1432","1293","1095","801","479"
Schönefeld-Abtnaundorf,Diebstahl,"423","357","414","475","494","416","572","555","556","565","603","709","680","719","711","695","701","563","504"
Schönefeld-Ost,Diebstahl,"400","451","413","572","490","465","466","397","395","569","557","497","536","517","450","470","558","470","488"
Mockau-Süd,Diebstahl,"191","195","145","173","197","159","164","240","214","278","405","234","286","246","278","256","231","167","167"
Mockau-Nord,Diebstahl,"446","362","248","286","227","229","397","367","522","411","491","431","461","417","407","471","417","482","439"
Thekla,Diebstahl,"204","213","140","166","187","213","252","185","304","314","332","248","306","245","231","205","205","211","239"
Plaußig-Portitz,Diebstahl,"67","78","68","53","79","63","96","99","102","64","72","73","101","62","94","59","61","66","42"
Neustadt-Neuschönefeld,Diebstahl,"679","609","674","715","698","672","670","679","711","852","923","1068","1538","1221","1079","1021","1197","923","835"
Volkmarsdorf,Diebstahl,"706","574","475","575","610","481","447","472","804","725","863","809","1001","996","981","898","884","682","603"
Anger-Crottendorf,Diebstahl,"486","361","391","459","424","438","387","441","559","591","815","760","750","806","861","719","582","518","437"
Sellerhausen-Stünz,Diebstahl,"380","364","311","321","408","309","443","409","553","597","604","586","703","583","660","568","544","625","481"
Paunsdorf,Diebstahl,"1295","1343","1246","1234","1246","943","904","801","844","994","1063","1023","1173","1126","1087","915","1036","894","955"
Heiterblick,Diebstahl,"138","256","217","156","188","156","250","209","293","261","226","329","458","347","187","167","174","209","193"
Mölkau,Diebstahl,"141","119","140","132","163","126","176","147","155","159","148","189","254","138","173","162","162","130","128"
Engelsdorf,Diebstahl,"351","261","249","212","314","282","281","243","290","231","282","346","436","305","249","352","328","255","224"
Baalsdorf,Diebstahl,"34","42","56","27","37","43","23","19","34","17","38","44","41","18","21","25","26","32","18"
Althen-Kleinpösna,Diebstahl,"37","38","45","46","39","47","53","45","40","24","52","41","52","38","25","29","31","30","16"
Reudnitz-Thonberg,Diebstahl,"1136","964","825","1497","1625","1360","1403","1475","1625","1558","2081","1881","2475","2178","2147","2182","2005","1639","1676"
Stötteritz,Diebstahl,"647","551","536","637","611","552","573","630","594","601","705","723","747","684","728","750","825","597","535"
Probstheida,Diebstahl,"427","426","337","403","423","317","261","313","437","353","372","438","454","390","477","422","386","340","308"
Meusdorf,Diebstahl,"124","102","58","71","78","53","39","46","66","57","55","44","52","62","55","65","65","51","36"
Liebertwolkwitz,Diebstahl,"160","148","119","122","134","133","95","106","154","113","98","86","134","118","124","111","150","110","71"
Holzhausen,Diebstahl,"107","167","125","156","157","139","99","92","153","135","184","132","204","123","112","143","165","144","110"
Südvorstadt,Diebstahl,"1138","1020","868","1004","1053","897","1106","1074","1322","1247","1305","1071","1710","1385","1012","1136","892","776","688"
Connewitz,Diebstahl,"895","766","608","737","776","690","971","906","1069","1011","937","811","1048","863","769","883","763","644","496"
Marienbrunn,Diebstahl,"112","119","76","131","117","122","121","130","157","192","215","179","159","185","154","157","135","129","157"
Lößnig,Diebstahl,"409","330","188","369","324","383","428","399","472","406","434","454","399","364","298","322","298","277","372"
Dölitz-Dösen,Diebstahl,"229","210","139","199","179","114","129","132","177","158","164","232","225","191","139","204","164","131","168"
Schleußig,Diebstahl,"417","398","483","357","441","396","522","495","552","611","615","685","698","796","561","568","448","522","346"
Plagwitz,Diebstahl,"870","822","737","759","876","767","860","846","966","1097","1239","1095","1442","1446","1118","1203","1101","1177","1016"
Kleinzschocher,Diebstahl,"373","363","361","414","391","417","451","597","553","519","615","601","629","633","433","487","379","447","398"
Großzschocher,Diebstahl,"489","432","430","450","424","366","411","450","417","533","674","633","626","644","519","467","286","358","287"
Knautkleeberg-Knauthain,Diebstahl,"129","144","117","166","133","81","89","89","121","126","132","105","116","102","89","76","84","69","94"
Hartmannsdorf-Knautnaundorf,Diebstahl,"31","33","26","36","99","25","42","31","30","61","47","49","57","39","28","31","38","22","31"
Schönau,Diebstahl,"198","172","147","148","165","136","194","252","278","319","316","276","346","249","243","239","243","300","223"
Grünau-Ost,Diebstahl,"177","182","175","144","187","141","170","199","173","271","335","263","370","321","276","356","267","233","204"
Grünau-Mitte,Diebstahl,"1057","969","885","723","680","627","690","734","708","802","953","910","1013","769","728","811","591","616","577"
Grünau-Siedlung,Diebstahl,"125","115","84","72","54","116","126","125","109","150","154","115","125","107","92","101","89","59","81"
Lausen-Grünau,Diebstahl,"441","475","466","391","340","281","324","312","486","637","580","582","593","608","601","483","427","352","299"
Grünau-Nord,Diebstahl,"495","372","357","308","292","289","304","294","291","350","400","309","445","364","311","348","309","271","266"
Miltitz,Diebstahl,"61","87","47","72","64","43","63","61","54","87","79","46","63","53","49","49","39","24","31"
