"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Nord,Körperverletzung,"276","264","279","286","285","269","461","480","597","546","591","542","615","536","521","487","565","542","617"
Stadt Leipzig,Körperverletzung,"3140","3036","3323","3468","3526","3300","5733","6153","6670","6434","7244","6741","7704","7066","6754","7104","7138","6909","8450"
Zentrum,Straftaten je Einwohner,"2658","2683","2281","1955","1610","1795","1786","2373,93","2372,69","2578,39","2964,53089244851","2758,58123569794","2664,03854577311","2848,84376762549","2681,76795580111","2712,78361925844","2392,83715724678","1673,87777176852","2313,163482"
Zentrum-Ost,Straftaten je Einwohner,"747","674","581","540","643","420","455","489,73","555,87","569,07","576,521950036381","658,258549599806","727,962085308057","798,090358639963","703,791469194313","705,941999594403","660,541769274484","574,275362318841","820,1219512"
Zentrum-Südost,Straftaten je Einwohner,"234","229","202","243","177","182","198","198,01","211,06","183,04","195,57723030354","192,634322710838","239,434523809524","228,537508347555","175,378707062087","163,020315385708","152,650374623626","125,58238034731","134,5106799"
Zentrum-Süd,Straftaten je Einwohner,"218","207","191","192","155","142","156","155,9","190,73","179,79","198,555663745537","165,774099318403","217,722120947927","170,349693727223","146,517092397484","151,494768310912","127,276799044491","112,293496055961","108,8499421"
Zentrum-West,Straftaten je Einwohner,"293","304","196","223","180","178","164","163,64","153,98","159,5","189,280868385346","202,170963364993","217,633191890618","191,230997404524","179,119473876507","166,636576999458","157,426543265343","132,5971810755","143,9225784"
Zentrum-Nordwest,Straftaten je Einwohner,"155","125","115","138","116","117","110","144,96","122,88","120,19","132,751937984496","121,317829457364","135,116863048097","141,736801836266","104,509730538922","116,281255875165","100,168982350732","84,8552964315819","86,32494449"
Zentrum-Nord,Straftaten je Einwohner,"233","212","175","194","274","370","404","413,49","431,39","463,2","458,452041785375","444,325735992403","546,11566431952","456,87827736249","315,228039621204","294,32162982228","254,503766786767","209,580181957689","140,7019046"
Schönefeld-Abtnaundorf,Straftaten je Einwohner,"96","87","110","101","105","97","121","130,81","118,53","108,61","114,604197509362","124,444831490029","118,764453254047","112,887828162291","111,43259305599","103,9907904835","111,483399329881","103,295215167018","99,9328809"
Schönefeld-Ost,Straftaten je Einwohner,"77","82","88","101","87","92","83","84,56","87,87","104,46","108,96174863388","92,7868852459016","98,0080525535071","107,488171158198","93,0513595166163","90,964098426785","106,080600954218","102,905569007264","98,61853383"
Mockau-Süd,Straftaten je Einwohner,"96","99","96","93","93","83","87","104,96","112","117,49","154,729109274564","99,862258953168","128,442437923251","102,09881941408","98,4444917962924","95,6485179735127","97,1155841460884","86,5561694290976","83,00720906"
Mockau-Nord,Straftaten je Einwohner,"65","64","48","60","55","50","68","63,17","84,85","76,63","82,2619713061301","76,6722563815912","259,249183895539","73,1268011527378","70,6531572281527","86,7842996038891","100,602355479637","102,55269945744","90,43432849"
Thekla,Straftaten je Einwohner,"60","72","96","64","67","75","67","59,36","86,73","95,69","94,5008008542445","84,3566470902296","98,8453463960812","75,4975978037062","66,8140088405304","62,8629996583533","60,719131614654","65,2137468566639","78,29483696"
Plaußig-Portitz,Straftaten je Einwohner,"42","46","54","37","53","41","49","63,32","58,8","32,58","45,0693374422188","46,2249614791988","58,5758039816233","41,8236623963828","54,26944971537","49,2481203007519","42,7691192461037","38,2513661202186","32,52818035"
Neustadt-Neuschönefeld,Straftaten je Einwohner,"180","156","190","198","170","176","185","180,62","162,31","181,69","183,573119650337","186,395920597341","237,955194187354","187,459441920831","175,69165287302","167,555864841877","197,596592637664","184,978508408114","163,3385685"
Volkmarsdorf,Straftaten je Einwohner,"187","154","153","162","156","172","152","154,93","191,65","184,12","179,832947569689","172,486665995773","188,517878264034","169,505818856468","162,117387188388","165,11859983112","158,645817519356","149,077212806026","138,10837"
Anger-Crottendorf,Straftaten je Einwohner,"121","89","95","104","99","104","90","92,56","110,12","110,67","130,319401004644","124,822291725903","122,550798258345","124,447977389154","120,363296833885","110,838894990285","99,1954880982002","88,0989180834621","81,14035088"
Sellerhausen-Stünz,Straftaten je Einwohner,"89","76","73","77","89","90","112","109,05","128,52","131,07","127,592095633081","128,689924371798","148,735632183908","118,157242622212","129,146005509642","117,901101274023","116,460290350128","131,273308470964","122,9568702"
Paunsdorf,Straftaten je Einwohner,"154","152","145","143","141","132","140","120,06","123,69","142,24","159,997089639115","153,37601862631","167,339137821193","146,918777172038","144,6356133725","129,94153674833","152,132933044753","136,486020020711","142,8084758"
Heiterblick,Straftaten je Einwohner,"67","93","83","65","82","63","95","79,93","102,03","95,65","99,3178717598909","135,607094133697","165,898617511521","135,200646377592","98,0392156862745","87,5834445927904","90,1264460586494","96,9415619879847","106,131427"
Mölkau,Straftaten je Einwohner,"41","45","56","47","48","43","51","47,4","46,71","47,88","47,1730245231608","54,1553133514986","68,8326913414838","41,7985012489592","47,9211888462181","46,5890183028286","45,3112033195021","37,8724120518431","48,31649832"
Engelsdorf,Straftaten je Einwohner,"77","61","71","57","77","69","67","64,64","74","69,75","68,5341009743135","70,4162976085031","82,4676020134947","64,1637501325697","56,7360815979601","70,3982777179763","63,2530120481928","55,3035212788939","59,74503025"
Baalsdorf,Straftaten je Einwohner,"42","44","59","24","40","40","97","57,45","35,99","36,54","35,673839184598","41,9026047565119","37,9464285714286","25,527192008879","28,1146637265711","20,4851752021563","23,2809962100704","29,1419320021587","25,30253025"
Althen-Kleinpösna,Straftaten je Einwohner,"42","43","46","37","34","46","43","34,61","42,29","31,1","44,392523364486","34,5794392523364","46,1323392357875","29,926335174954","20,670647680294","29,3560606060606","32,3791647114031","27,0655270655271","29,83638114"
Reudnitz-Thonberg,Straftaten je Einwohner,"124","120","127","152","158","134","139","148,32","157,7","133,09","161,02800923602","143,409296255396","179,353645478439","157,341826306032","153,388550771061","148,482805124747","140,369486431539","128,450059426861","131,7218427"
Stötteritz,Straftaten je Einwohner,"88","84","76","87","91","73","83","83,63","82,37","80,63","87,1424923391215","79,4816138917263","82,6696301784281","73,510773130545","71,6389772593378","74,7551125622959","80,9406929619271","65,0360685302074","66,72632698"
Probstheida,Straftaten je Einwohner,"114","113","92","115","113","94","80","90,53","113,92","103,43","105,151958394279","116,366000325045","115,75613618369","101,605111422783","113,992022092666","110,363803118312","99,4152046783626","95,2949962658701","86,05341246"
Meusdorf,Straftaten je Einwohner,"65","73","55","53","57","52","44","52,43","59,5","52,6","53,540081919251","45,9332943241662","54,5560069645966","70,298769771529","62,9206906643254","69,2691517464045","62,5186067281929","63,1389055923031","60,91676719"
Liebertwolkwitz,Straftaten je Einwohner,"57","61","56","63","66","72","44","55,36","68,76","53,79","58,7786259541985","44,2748091603053","63,0204390613172","57,3584905660377","57,0469798657718","61,3005403391094","73,3246705030629","53,3907830648183","44,90404323"
Holzhausen,Straftaten je Einwohner,"32","54","42","49","51","45","34","31,32","50,96","54,82","61,0066900286716","40,2994584262504","56,3091482649842","36,9734789391576","34,3167701863354","43,8942891859052","43,1372549019608","41,878552198624","37,60299625"
Südvorstadt,Straftaten je Einwohner,"135","108","95","108","108","83","92","91,14","104,66","93,85","96,4073085608705","84,6643399712585","115,104439167706","95,7604387685656","78,5301176378015","77,4699586569298","71,1403205349937","63,2641401637783","58,59523628"
Connewitz,Straftaten je Einwohner,"124","114","99","118","117","109","119","119,75","132,67","121,95","123,892831600374","103,097320790009","127,008167901769","98,0297676410751","99,6856518727689","107,430617726052","101,459023178808","91,9997931426798","76,50358367"
Marienbrunn,Straftaten je Einwohner,"61","57","50","69","54","54","50","50,57","58,04","56,1","72,6729716276755","63,2155301144848","62,5720401778363","59,373462358537","45,6384528240816","48,2959134227104","46,0408163265306","57,265097910153","62,0371894"
Lößnig,Straftaten je Einwohner,"70","65","59","91","71","67","71","74,15","81,56","66,89","83,9306777969331","78,0328463841757","80,2061669228682","65,0230289894338","53,7459283387622","56,769746984674","50,8817046289493","56,8614698504135","68,90475749"
Dölitz-Dösen,Straftaten je Einwohner,"120","129","119","145","112","62","62","60,7","62,35","57,93","61,9916465157177","124,642778632667","162,019433882552","88,034188034188","55,1415797317437","73,6408923543426","67,5793133420252","51,2158381751668","71,52173913"
Schleußig,Straftaten je Einwohner,"82","70","71","65","62","61","83","66,01","75,47","80","80,342966020959","81,8513813909178","84,1218096525403","91,75469020968","69,2907248636009","67,9438454975568","63,1513454658578","73,2772061116308","50,69778444"
Plagwitz,Straftaten je Einwohner,"199","169","159","154","155","198","149","132,88","145,18","145,13","159,800505568081","142,173942747831","173,491736908475","154,055807916937","122,610457019876","129,323308270677","119,776646008468","119,584264910266","113,6854742"
Kleinzschocher,Straftaten je Einwohner,"117","116","96","111","100","110","109","129,14","129,38","123,21","128,05410122164","140,052356020942","135,824687698497","129,430993972827","106,425303361846","105,523658681449","89,2492959114305","94,4460655578251","85,82161433"
Großzschocher,Straftaten je Einwohner,"108","89","93","90","96","88","90","210,89","101,9","96,19","126,849894291755","118,949593857795","134,672701181146","115,034543261323","92,8884026258206","85,807150595883","71,4208066094141","75,3648442605097","76,56587473"
Knautkleeberg-Knauthain,Straftaten je Einwohner,"59","53","45","64","56","48","39","40,5","51,63","42,82","42,0168067226891","38,2819794584501","48,5115766262403","40,1161735342167","32,9789151198414","31,9092359510725","29,8639335571656","32,6145072179647","37,03703704"
Hartmannsdorf-Knautnaundorf,Straftaten je Einwohner,"44","41","47","51","110","31","51","38,59","39,14","64,22","51,7629407351838","76,5191297824456","66,6666666666667","51,6324981017464","44,2477876106195","46,0030165912519","50,4451038575668","45,70100697134","53,46385542"
Schönau,Straftaten je Einwohner,"88","73","74","69","77","73","83","105,32","117,15","137,08","125","124,065420560748","136,025265057523","104,185022026432","107,805088400172","94,0604523356584","113,877551020408","116,261104673619","123,4928754"
Grünau-Ost,Straftaten je Einwohner,"44","44","46","44","49","41","50","51,08","56,1","67,04","79,6306209850107","68,1209850107066","83,9774662649024","71,5591538260642","70,1215611004479","80,0514800514801","70,2933195503295","74,4345081536034","70,6991359"
Grünau-Mitte,Straftaten je Einwohner,"146","144","139","116","115","99","112","116,91","131,48","133,6","152,49751902084","144,062189877605","157,565415244596","126,854259061019","115,144682450207","122,86562731997","116,901408450704","114,793075265622","117,3105498"
Grünau-Siedlung,Straftaten je Einwohner,"107","75","55","49","37","49","62","58,17","55,33","69,7","81,8467995802728","66,894018887723","67,9156908665105","58,4719334719335","58,3657587548638","66,2047729022325","61,0231108802908","62,6304801670146","92,15376514"
Lausen-Grünau,Straftaten je Einwohner,"67","76","74","80","71","65","72","77,74","89,11","98,36","93,8631128660744","95,6729187232642","99,6831586643919","95,6664580725907","98,0574258958285","75,0173651308173","76,4233855559801","71,2996389891697","68,24359069"
Grünau-Nord,Straftaten je Einwohner,"109","104","102","106","90","90","91","94,73","93,05","100,55","103,764115432873","80,3011292346299","101,099987640588","82,6081912054763","82,877429868467","83,8999654258384","82,9664747714189","83,8296437802","80,89214381"
Miltitz,Straftaten je Einwohner,"49","73","44","67","64","47","77","71,17","68,89","86,61","96,7911625460284","45,7653866386113","48,4558040468584","50,1810657009829","56,5552699228792","57,7915376676987","54,1795665634675","41,1030176899063","46,75876727"
Lindenau,Straftaten je Einwohner,"149","146","136","178","162","181","173","185,14","189,83","167,91","178,443772339841","161,396755567776","155,407141022348","148,833765272121","132,032007759457","132,368896925859","132,91063524345","131,597384399813","130,8433169"
Altlindenau,Straftaten je Einwohner,"152","133","136","139","146","133","151","172,02","170,03","176,33","195,487271792235","194,330161995372","188,209176122348","156,331670230459","134,495136637332","131,366687348412","128,346930953294","119,79138663369","117,7707109"
Neulindenau,Straftaten je Einwohner,"168","150","134","161","143","108","120","135,31","136,42","130,94","163,09412861137","151,755203479341","160,239162929746","118,366745283019","102,30179028133","117,605233219568","90,8707272471515","110,011312217195","115,7282655"
Leutzsch,Straftaten je Einwohner,"94","112","92","100","87","87","103","118,72","116,93","110,63","139,293779511394","115,582016013139","102,114080574392","96,3914493037851","83,2046332046332","87,561139349765","94,33601224646","85,933014354067","78,31782799"
Böhlitz-Ehrenberg,Straftaten je Einwohner,"58","63","63","62","70","54","52","52,4","52,45","63,19","72,6626517918847","63,6785467469642","70,8529874213836","69,3652977009236","59,5238095238095","52,6057030481809","52,4872698785742","52,6935531351192","43,9192516"
Burghausen-Rückmarsdorf,Straftaten je Einwohner,"105","82","85","90","81","60","83","77,82","74,05","95,42","87,821043910522","83,2642916321458","80,1749271137026","77,6475512766848","72,6738080235245","62,4086829471927","61,8212197159566","60,4153555695406","59,2077539"
Möckern,Straftaten je Einwohner,"154","120","124","123","148","136","157","190,26","158,92","153,18","170,003721622627","166,951991068106","185,126468256828","251,145674211915","230,02938819129","205,020920502092","148,938810971826","172,262069796878","186,5932374"
Wahren,Straftaten je Einwohner,"117","115","94","111","103","73","70","79,12","88,28","81,78","80,4065162158123","91,0177850844418","87,7687175685693","88,6692450938261","78,5007072135785","71,6489063376332","64,3077787138444","53,4014074789568","60,75601375"
Lützschena-Stahmeln,Straftaten je Einwohner,"66","49","57","68","63","58","65","72,58","74,99","79,96","101,941747572816","93,7659683188554","120,689655172414","196,934865900383","161,947342275211","193,924665856622","165,547024952015","115,384615384615","141,3637444"
Lindenthal,Straftaten je Einwohner,"72","72","66","49","44","37","42","46,13","52,05","51,41","47,994947900221","40,7325544679507","60,0311041990669","41,9097328830212","47,8868957129827","49,5992741569636","52,147701582517","47,4474474474474","42,25352113"
Gohlis-Süd,Straftaten je Einwohner,"133","108","100","101","95","96","111","115,54","115,15","122,15","122,995851552865","123,836752999215","122,0842843623","120,757608933654","91,1680911680912","102,429345202982","96,3701295240126","84,0170484816196","72"
Gohlis-Mitte,Straftaten je Einwohner,"68","64","66","67","64","63","63","60,11","57,66","55,86","69,9159238889942","61,9508186358177","68,8962790989521","65,8938377059182","50,4281074697372","54,6888694127958","54,1823444283647","48,5252687862933","37,05181554"
Gohlis-Nord,Straftaten je Einwohner,"76","88","57","80","89","57","44","55,1","60,34","77,32","76,437587657784","54,4647031323048","65,3797541077789","60,0381550892156","75,809105869446","56,0557341907824","78,900801498907","59,2152443397193","59,24170616"
Eutritzsch,Straftaten je Einwohner,"163","166","167","157","152","136","133","135,09","158,32","136,47","132,196651120116","133,878736906491","166,882556131261","150,594451783355","143,573883161512","115,669360863954","92,6849258930401","98,7007686551935","126,0754691"
Seehausen,Straftaten je Einwohner,"311","298","266","291","215","176","213","230,77","285,32","296,48","285,84229390681","293,458781362007","360,095389507154","267,482517482517","196,588486140725","228,966094600251","182,67266040049","171,213918544879","264,3020595"
Wiederitzsch,Straftaten je Einwohner,"60","62","47","47","54","49","54","54,71","62,52","64,96","66,6115507263494","58,8165820243298","63,0153121319199","59,1743655712782","51,5271625087433","42,560553633218","36,5979974680631","42,1824850985786","50,34168565"
Mitte,Straftaten je Einwohner,"362","341","284","286","258","259","266","292,0435475","303,236718016788","306,936937720991","329,957734573119","320,388841927303","378,839535556914","341,511301238667","286,599823335245","284,065090574148","255,743495272749","210,098312902051","245,0140335"
Nordost,Straftaten je Einwohner,"75","76","82","81","79","76","84","87,74816839","95,172531836725","94,383728474149","102,826710364605","93,9960853930538","143,585105444278","92,439507448549","87,8634370610021","88,2197569994717","96,0907944514502","92,6866692931346","88,81491071"
Ost,Straftaten je Einwohner,"120","107","112","111","111","110","115","107,6195236","116,97166109327","122,578540307019","129,679655276925","129,666477789345","148,629912526154","126,55186711871","122,249856514253","117,848387593411","122,957948428649","116,079467720623","112,0143274"
Südost,Straftaten je Einwohner,"90","92","86","102","109","91","89","94,77105971","104,89036784592","93,8754751970923","107,525363917071","96,3387737097486","114,110239471511","100,782795408051","99,9405607106297","100,386351092497","98,8583373532722","87,7515758487185","87,16348527"
Süd,Straftaten je Einwohner,"110","98","86","106","99","83","90","90,35862158","101,310135201832","91,0964127174456","97,3818397292956","89,5694615540551","111,073619631902","87,2731158502145","75,657198172853","79,6042275691477","74,0569278098026","69,1423545371875","66,6009911"
Südwest,Straftaten je Einwohner,"117","103","97","99","99","107","100","117,3529384","104,520657120501","103,540013539193","114,428911590752","110,838005991244","123,293877782183","114,118521270667","91,1433113454054","91,3656803017116","82,2343598404542","86,5415665028166","78,8966256"
West,Straftaten je Einwohner,"93","91","87","83","79","72","82","86,5863542","94,0094908298709","103,130754091155","109,453937966709","99,1687297465934","110,510367773751","94,1097979412886","92,2178255134728","89,6706586826347","88,2625970071665","87,211662668389","89,1265922"
Alt-West,Straftaten je Einwohner,"118","112","107","118","114","103","113","125,4043572","125,689084022715","127,733250397279","146,496933311098","136,138751459225","134,008402456103","117,815637252316","102,715486733302","102,679488056943","100,011827720798","98,1841959659977","95,15893406"
Nordwest,Straftaten je Einwohner,"116","98","96","97","105","91","102","119,4698931","109,483770450963","106,355770074225","116,053203397643","114,47290445776","129,790940766551","165,97510373444","152,11664522453","144,392873184608","114,398190311114","116,594641313742","127,5502925"
Nord,Straftaten je Einwohner,"112","107","97","100","96","87","91","94,01556178","101,570848947712","101,631628433586","104,332408964859","99,3923413798851","112,880527368343","103,283859807242","88,8828679804923","84,4879645568192","78,7454494539345","73,0543420796349","77,09688086"
Stadt Leipzig,Straftaten je Einwohner,"142,495367893564","132,169103641976","124,579275956145","131,080843460914","122,945171768875","115,652636041728","119,739104516668","127,243007902334","133,353998402786","135,26","149,06","135,20080664268","156,054634531193","136,978240988387","123,792913845837","120,191042334083","115,784504632088","105,720614396596","109,0447293"
Zentrum,Vermögensdelikte,"","","","","","","724","745","643","759","841","1145","1644","669","609","557","559","526","538"
Zentrum-Ost,Vermögensdelikte,"","","","","","","463","391","547","510","593","608","558","652","687","717","721","689","942"
Zentrum-Südost,Vermögensdelikte,"","","","","","","253","248","238","266","269","293","366","276","207","219","253","271","257"
Zentrum-Süd,Vermögensdelikte,"","","","","","","242","232","290","254","308","232","257","232","175","199","170","186","184"
Zentrum-West,Vermögensdelikte,"","","","","","","259","259","217","319","406","587","482","421","372","355","405","404","442"
Zentrum-Nordwest,Vermögensdelikte,"","","","","","","258","401","303","257","270","114","140","102","112","97","142","72","110"
Zentrum-Nord,Vermögensdelikte,"","","","","","","737","780","857","755","844","811","812","723","562","547","477","550","426"
Schönefeld-Abtnaundorf,Vermögensdelikte,"","","","","","","190","247","205","230","266","267","178","179","190","181","225","227","179"
Schönefeld-Ost,Vermögensdelikte,"","","","","","","78","81","164","141","130","149","137","202","155","105","130","132","150"
Mockau-Süd,Vermögensdelikte,"","","","","","","44","54","91","84","79","62","53","71","43","34","54","73","48"
Mockau-Nord,Vermögensdelikte,"","","","","","","127","89","125","133","133","162","108","101","106","167","224","191","145"
Thekla,Vermögensdelikte,"","","","","","","39","45","50","59","50","70","44","57","38","26","38","37","55"
Plaußig-Portitz,Vermögensdelikte,"","","","","","","10","8","17","6","12","16","17","10","12","19","9","17","14"
Neustadt-Neuschönefeld,Vermögensdelikte,"","","","","","","286","246","246","250","259","245","279","281","275","217","291","395","283"
Volkmarsdorf,Vermögensdelikte,"","","","","","","237","188","201","170","178","225","214","219","245","227","201","269","262"
Anger-Crottendorf,Vermögensdelikte,"","","","","","","107","126","141","154","175","186","186","161","114","170","156","145","127"
Sellerhausen-Stünz,Vermögensdelikte,"","","","","","","163","162","166","134","165","187","219","150","171","198","159","181","205"
Paunsdorf,Vermögensdelikte,"","","","","","","536","286","278","313","414","412","390","325","301","293","329","319","315"
Heiterblick,Vermögensdelikte,"","","","","","","52","52","49","56","81","92","80","78","103","101","96","76","104"
Mölkau,Vermögensdelikte,"","","","","","","49","41","39","44","39","41","63","44","32","32","24","31","47"
Engelsdorf,Vermögensdelikte,"","","","","","","132","133","125","183","179","103","114","105","97","102","88","78","97"
Baalsdorf,Vermögensdelikte,"","","","","","","122","60","13","21","9","7","9","4","4","2","6","13","13"
Althen-Kleinpösna,Vermögensdelikte,"","","","","","","18","6","8","8","10","4","7","8","4","12","9","12","14"
Reudnitz-Thonberg,Vermögensdelikte,"","","","","","","343","362","483","330","341","350","407","372","353","340","320","341","310"
Stötteritz,Vermögensdelikte,"","","","","","","181","221","204","255","266","162","203","184","146","188","172","139","161"
Probstheida,Vermögensdelikte,"","","","","","","44","67","75","98","78","74","85","67","78","63","67","70","52"
Meusdorf,Vermögensdelikte,"","","","","","","21","41","26","30","35","21","8","12","16","15","24","23","11"
Liebertwolkwitz,Vermögensdelikte,"","","","","","","44","64","58","64","67","51","87","78","62","96","75","39","63"
Holzhausen,Vermögensdelikte,"","","","","","","34","29","61","49","42","28","40","26","29","30","25","23","31"
Südvorstadt,Vermögensdelikte,"","","","","","","207","212","246","232","235","218","253","228","211","177","181","187","187"
Connewitz,Vermögensdelikte,"","","","","","","166","225","175","184","240","211","251","168","182","170","197","211","172"
Marienbrunn,Vermögensdelikte,"","","","","","","49","69","58","62","92","87","73","64","45","48","51","63","75"
Lößnig,Vermögensdelikte,"","","","","","","85","122","124","89","178","99","107","83","87","56","68","60","93"
Dölitz-Dösen,Vermögensdelikte,"","","","","","","30","17","16","25","28","41","42","40","23","31","33","12","23"
Schleußig,Vermögensdelikte,"","","","","","","219","127","116","121","163","156","123","127","152","120","132","109","100"
Plagwitz,Vermögensdelikte,"","","","","","","345","285","288","274","377","364","404","339","220","254","207","190","248"
Kleinzschocher,Vermögensdelikte,"","","","","","","150","159","150","192","203","233","240","249","243","223","205","176","174"
Großzschocher,Vermögensdelikte,"","","","","","","103","1179","159","109","173","175","161","123","98","103","88","77","118"
Knautkleeberg-Knauthain,Vermögensdelikte,"","","","","","","44","51","45","38","25","35","20","55","20","23","18","23","35"
Hartmannsdorf-Knautnaundorf,Vermögensdelikte,"","","","","","","3","1","7","4","3","3","9","6","3","5","6","8","7"
Schönau,Vermögensdelikte,"","","","","","","72","59","71","63","82","106","105","62","60","45","65","80","90"
Grünau-Ost,Vermögensdelikte,"","","","","","","54","57","54","58","92","93","74","52","64","68","79","93","70"
Grünau-Mitte,Vermögensdelikte,"","","","","","","199","155","177","194","273","274","242","236","179","203","261","192","218"
Grünau-Siedlung,Vermögensdelikte,"","","","","","","59","27","39","42","72","80","68","59","60","73","53","84","86"
Lausen-Grünau,Vermögensdelikte,"","","","","","","206","197","108","91","135","142","164","207","185","112","104","134","122"
Grünau-Nord,Vermögensdelikte,"","","","","","","70","84","70","69","137","74","86","69","75","88","67","123","114"
Miltitz,Vermögensdelikte,"","","","","","","17","41","35","38","39","13","6","10","13","12","20","19","17"
Lindenau,Vermögensdelikte,"","","","","","","192","229","219","161","205","192","144","102","96","94","98","101","123"
Altlindenau,Vermögensdelikte,"","","","","","","427","500","428","351","570","668","584","443","417","381","437","350","373"
Neulindenau,Vermögensdelikte,"","","","","","","124","159","130","156","165","202","340","97","142","106","128","116","132"
Leutzsch,Vermögensdelikte,"","","","","","","218","343","179","128","224","158","145","152","138","115","135","106","114"
Böhlitz-Ehrenberg,Vermögensdelikte,"","","","","","","105","104","116","108","102","117","102","77","129","84","47","77","72"
Burghausen-Rückmarsdorf,Vermögensdelikte,"","","","","","","69","58","53","47","72","50","36","34","43","40","44","82","61"
Möckern,Vermögensdelikte,"","","","","","","949","1101","790","588","682","641","568","523","444","403","285","408","433"
Wahren,Vermögensdelikte,"","","","","","","113","120","95","128","95","123","92","79","61","76","75","56","83"
Lützschena-Stahmeln,Vermögensdelikte,"","","","","","","64","56","55","57","61","100","71","89","87","77","80","56","71"
Lindenthal,Vermögensdelikte,"","","","","","","49","52","51","51","36","50","47","44","33","30","28","27","31"
Gohlis-Süd,Vermögensdelikte,"","","","","","","376","298","285","317","339","410","305","326","214","231","213","234","270"
Gohlis-Mitte,Vermögensdelikte,"","","","","","","121","136","164","135","155","163","220","111","109","112","105","104","89"
Gohlis-Nord,Vermögensdelikte,"","","","","","","46","60","54","65","92","66","75","67","66","64","64","52","123"
Eutritzsch,Vermögensdelikte,"","","","","","","283","331","522","397","312","414","410","250","313","228","239","276","445"
Seehausen,Vermögensdelikte,"","","","","","","137","118","136","149","94","67","76","93","89","57","83","100","139"
Wiederitzsch,Vermögensdelikte,"","","","","","","92","89","98","102","113","132","119","124","111","51","43","46","54"
Mitte,Vermögensdelikte,"","","","","","","2936","3056","3095","3120","3531","3790","4259","3075","2724","2691","2727","2698","2899"
Nordost,Vermögensdelikte,"","","","","","","488","524","652","653","670","726","537","620","544","532","680","677","591"
Ost,Vermögensdelikte,"","","","","","","1702","1300","1266","1333","1509","1502","1561","1375","1346","1354","1359","1519","1467"
Südost,Vermögensdelikte,"","","","","","","667","784","907","826","829","686","830","739","684","732","683","635","628"
Süd,Vermögensdelikte,"","","","","","","537","645","619","592","773","656","726","583","548","482","530","533","550"
Südwest,Vermögensdelikte,"","","","","","","864","1802","765","738","944","966","957","899","736","728","656","583","682"
West,Vermögensdelikte,"","","","","","","677","620","554","555","830","782","745","695","636","601","649","725","717"
Alt-West,Vermögensdelikte,"","","","","","","1135","1393","1125","951","1338","1387","1351","905","965","820","889","832","875"
Nordwest,Vermögensdelikte,"","","","","","","1175","1329","991","824","874","914","778","735","625","586","468","547","618"
Nord,Vermögensdelikte,"","","","","","","1055","1032","1259","1165","1105","1252","1205","971","902","743","747","812","1120"
Stadt Leipzig,Vermögensdelikte,"","","","","","","13902","15282","14409","13977","15358","13755","14271","11713","10396","9753","9935","10122","10643"
