"Gebiet","Sachmerkmal","2015","2017","2019","2021"
Nordost,Lebenszufriedenheit,"2,22929311297572","2,27560951466483","2,2","2,4045566033"
Ost,Lebenszufriedenheit,"2,19286473089672","2,24637109282729","2,2","2,2965826031"
Südost,Lebenszufriedenheit,"2,14886151158504","2,18089033442846","2,1","2,2238652154"
Süd,Lebenszufriedenheit,"2,12361453266439","2,1436848283455","2","2,2591862939"
Südwest,Lebenszufriedenheit,"2,12596957001227","2,14471520725145","2,1","2,1968277171"
West,Lebenszufriedenheit,"2,29315054018127","2,36626870834256","2,3","2,4319684493"
Alt-West,Lebenszufriedenheit,"2,17382018910409","2,15615324894598","2,1","2,2729081697"
Nordwest,Lebenszufriedenheit,"2,13576012016659","2,21079398937486","2,1","2,3311960814"
Nord,Lebenszufriedenheit,"2,08852313501643","2,02252756520205","2,1","2,2141919196"
Stadt Leipzig,Lebenszufriedenheit,"2,15365984942787","2,17304945704828","2,1","2,278237041"
Zentrum,Wirtschaftliche Lage,"2,25558003160208","2,18111367837956","2,3","2,3537809699"
Zentrum-Ost,Wirtschaftliche Lage,"2,24261908195776","2,06394061277051","2,3","2,3008307357"
Zentrum-Südost,Wirtschaftliche Lage,"2,47413659488494","2,46531399405262","2,3","2,5377314458"
Zentrum-Süd,Wirtschaftliche Lage,"2,21655644470479","2,26162172908916","2,2","2,2426705591"
Zentrum-West,Wirtschaftliche Lage,"2,14361461318798","2,28247801654125","2,2","2,1334347272"
Zentrum-Nordwest,Wirtschaftliche Lage,"2,18642666598626","2,12673954657534","1,9","2,0393067574"
Zentrum-Nord,Wirtschaftliche Lage,"2,32145975534811","2,28390453697321","2,2","2,4474100937"
Schönefeld-Abtnaundorf,Wirtschaftliche Lage,"2,45196996550885","2,47686930286459","2,5","2,5854895072"
Schönefeld-Ost,Wirtschaftliche Lage,"2,48056060119258","2,51794906044851","2,5","2,4629299959"
Mockau-Süd,Wirtschaftliche Lage,"2,62825965822996","2,27380248597555","2,4","2,5398686851"
Mockau-Nord,Wirtschaftliche Lage,"2,47008674582566","2,53886539476308","2,2","2,4759897228"
Thekla,Wirtschaftliche Lage,"2,3752295900014","2,43120914627225","2,2","2,4595070023"
Plaußig-Portitz,Wirtschaftliche Lage,"2,39904022993701","2,2434061362648","2,1","2,2863140311"
Neustadt-Neuschönefeld,Wirtschaftliche Lage,"2,45336560292071","2,45166262166287","2,3","2,4102863081"
Volkmarsdorf,Wirtschaftliche Lage,"2,41247888603956","2,56475653583086","2,5","2,6069659725"
Anger-Crottendorf,Wirtschaftliche Lage,"2,42838477702614","2,39797123967904","2,4","2,4026707774"
Sellerhausen-Stünz,Wirtschaftliche Lage,"2,46213058211151","2,41363084842803","2,3","2,3303831121"
Paunsdorf,Wirtschaftliche Lage,"2,61837753252357","2,61410411914644","2,6","2,5102546612"
Heiterblick,Wirtschaftliche Lage,"2,32452479044088","2,27523907382339","2,3","2,098630266"
Mölkau,Wirtschaftliche Lage,"2,16922570221595","2,28708846790495","2,1","2,1397856092"
Engelsdorf,Wirtschaftliche Lage,"2,33719833083517","2,36881357044637","2,3","2,2657819892"
Baalsdorf,Wirtschaftliche Lage,"2,27951738906849","1,99797523654676","2","2,1315398361"
Althen-Kleinpösna,Wirtschaftliche Lage,"2,36235999481334","2,3252700168249","2,2","2,5270522744"
Reudnitz-Thonberg,Wirtschaftliche Lage,"2,4287095417683","2,58055031857612","2,4","2,4069849279"
Stötteritz,Wirtschaftliche Lage,"2,30586545336926","2,38863415222192","2,4","2,2875571455"
Probstheida,Wirtschaftliche Lage,"2,1039323454676","2,37415419189335","2","2,0857938041"
Meusdorf,Wirtschaftliche Lage,"2,52227327689187","2,23197159846825","2,2","2,3303015093"
Liebertwolkwitz,Wirtschaftliche Lage,"2,22871254027268","2,39536158463729","2,2","2,3347724334"
Holzhausen,Wirtschaftliche Lage,"2,21723783589371","2,27567843944455","2,2","2,3085655507"
Südvorstadt,Wirtschaftliche Lage,"2,21722338768107","2,24813794309409","2,2","2,2380734416"
Connewitz,Wirtschaftliche Lage,"2,49963538519839","2,40212887882366","2,3","2,4219237642"
Marienbrunn,Wirtschaftliche Lage,"2,2944317754405","2,32935321390383","2,2","2,2296953044"
Lößnig,Wirtschaftliche Lage,"2,49747575067064","2,59364543848327","2,3","2,399358076"
Dölitz-Dösen,Wirtschaftliche Lage,"2,31203528967884","2,37010811046206","2,2","2,2970033087"
Schleußig,Wirtschaftliche Lage,"2,22336524973476","2,14782890154144","2,2","2,2301455083"
Plagwitz,Wirtschaftliche Lage,"2,36916912034911","2,39788916944877","2,1","2,2329255791"
Kleinzschocher,Wirtschaftliche Lage,"2,39584720994043","2,47202539467973","2,5","2,3017337168"
Großzschocher,Wirtschaftliche Lage,"2,3836408639398","2,29929006150687","2,2","2,2694679121"
Knautkleeberg-Knauthain,Wirtschaftliche Lage,"2,33304402810907","2,10318648993199","2,1","2,0467819608"
Hartmannsdorf-Knautnaundorf,Wirtschaftliche Lage,"2,2759687001072","2,327770481605","2,2","2,2592720591"
Schönau,Wirtschaftliche Lage,"2,50878417866392","2,43784328560615","2,2","2,2611943584"
Grünau-Ost,Wirtschaftliche Lage,"2,69156287572582","2,44148854292301","2,5","2,5346809829"
Grünau-Mitte,Wirtschaftliche Lage,"2,6177046201274","2,38028061869406","2,7","2,6117161629"
Grünau-Siedlung,Wirtschaftliche Lage,"2,21236476210339","2,22370589080038","2,2","2,1234046232"
Lausen-Grünau,Wirtschaftliche Lage,"2,54493939704292","2,45317694910623","2,4","2,5153440207"
Grünau-Nord,Wirtschaftliche Lage,"2,71493950879137","2,63598887550539","2,6","2,4466320513"
Miltitz,Wirtschaftliche Lage,"2,27886188638654","2,27799522715323","2,3","2,1376469032"
Lindenau,Wirtschaftliche Lage,"2,3941708373626","2,79536745990168","2,2","2,4449450362"
Altlindenau,Wirtschaftliche Lage,"2,49270566451689","2,45307555891659","2,5","2,3382997787"
Neulindenau,Wirtschaftliche Lage,"2,52755693628986","2,55462973579173","2,5","2,4232088008"
Leutzsch,Wirtschaftliche Lage,"2,55684844350276","2,26051325870182","2,3","2,2747675438"
Böhlitz-Ehrenberg,Wirtschaftliche Lage,"2,30276460779183","2,30352768364545","2,2","2,4067694171"
Burghausen-Rückmarsdorf,Wirtschaftliche Lage,"2,22238291070189","2,3200437620473","2","2,223601187"
Möckern,Wirtschaftliche Lage,"2,49356319303896","2,35196388125497","2,2","2,4969186911"
Wahren,Wirtschaftliche Lage,"2,43462351211461","2,29261267820173","2,3","2,2148867914"
Lützschena-Stahmeln,Wirtschaftliche Lage,"2,1829808850526","2,23863592911015","2,1","2,221714075"
Lindenthal,Wirtschaftliche Lage,"2,20320868275617","2,23368060228594","2,2","2,3572458036"
Gohlis-Süd,Wirtschaftliche Lage,"2,18179725094046","2,13356194262014","2,2","2,276107588"
Gohlis-Mitte,Wirtschaftliche Lage,"2,17781202806317","2,14843466670394","2,2","2,3398718034"
Gohlis-Nord,Wirtschaftliche Lage,"2,3213836269873","2,3206947555872","2,4","2,3734213605"
Eutritzsch,Wirtschaftliche Lage,"2,4310078849501","2,37012508040793","2,4","2,3766871333"
Seehausen,Wirtschaftliche Lage,"2,23740793479874","2,32753414904037","2,3","2,2975627418"
Wiederitzsch,Wirtschaftliche Lage,"2,19168694488795","2,15697542113908","2","2,0600198581"
Mitte,Wirtschaftliche Lage,"2,30869417578163","2,34703325450889","2,3","2,2990645506"
Nordost,Wirtschaftliche Lage,"2,43754879157314","2,51039041927553","2,4","2,5278429401"
Ost,Wirtschaftliche Lage,"2,48936106090916","2,50729534280921","2,4","2,4690761709"
Südost,Wirtschaftliche Lage,"2,42937165814733","2,44524272623755","2,3","2,4080958948"
Süd,Wirtschaftliche Lage,"2,3981024788628","2,43756758961851","2,2","2,3635545801"
Südwest,Wirtschaftliche Lage,"2,43995361354335","2,35743797676543","2,3","2,2616926092"
West,Wirtschaftliche Lage,"2,5852305564568","2,50898720126651","2,5","2,545283411"
Alt-West,Wirtschaftliche Lage,"2,42801547623212","2,41688896786161","2,4","2,3881632415"
Nordwest,Wirtschaftliche Lage,"2,41310650495353","","",""
Nord,Wirtschaftliche Lage,"2,3348898438","","",""
Stadt Leipzig,Wirtschaftliche Lage,"2,42318677825025","","",""
Zentrum,Wohnviertel,"2,03474188203192","2","2,1","2,0529465453"
Zentrum-Ost,Wohnviertel,"2,11398274999597","2,2","2,2","2,0879503877"
Zentrum-Südost,Wohnviertel,"2,0970967383609","2,2","2,2","2,1330284772"
Zentrum-Süd,Wohnviertel,"1,68130267640483","1,7","1,7","1,9628030461"
Zentrum-West,Wohnviertel,"1,74598762486913","1,9","1,9","1,9610937933"
Zentrum-Nordwest,Wohnviertel,"1,67307577532537","1,9","1,7","1,7011593823"
Zentrum-Nord,Wohnviertel,"1,93246206577125","2,1","2,1","2,1125852295"
Schönefeld-Abtnaundorf,Wohnviertel,"2,75478429482497","2,7","2,9","2,772431788"
Schönefeld-Ost,Wohnviertel,"2,35440139389864","2,5","2,4","2,3403885038"
Mockau-Süd,Wohnviertel,"2,51119600265271","2,6","2,4","2,4045513788"
Mockau-Nord,Wohnviertel,"2,29243299482074","2,4","2,4","2,3294223314"
Thekla,Wohnviertel,"2,09848178751962","2,3","2,3","2,2810717248"
Plaußig-Portitz,Wohnviertel,"2,11813313383492","2,1","2,1","2,0690197079"
Neustadt-Neuschönefeld,Wohnviertel,"2,65606897599663","2,7","2,6","2,4054993028"
Volkmarsdorf,Wohnviertel,"2,8883783624417","2,7","3","2,6526441511"
Anger-Crottendorf,Wohnviertel,"2,63764462326622","2,5","2,4","2,5172259472"
Sellerhausen-Stünz,Wohnviertel,"2,43594132268608","2,4","2,3","2,409409778"
Paunsdorf,Wohnviertel,"2,47422197246174","2,5","2,7","2,6453857897"
Heiterblick,Wohnviertel,"1,89570766093461","2","2,1","2,029225282"
Mölkau,Wohnviertel,"1,79652531531012","1,9","1,9","1,9945271367"
Engelsdorf,Wohnviertel,"2,00339351657307","1,9","1,9","2,001228821"
Baalsdorf,Wohnviertel,"1,85954733952773","1,8","1,8","1,8828700924"
Althen-Kleinpösna,Wohnviertel,"2,17396291027207","2,3","2,1","2,1443335799"
Reudnitz-Thonberg,Wohnviertel,"2,21547789509015","2,4","2,2","2,3318589797"
Stötteritz,Wohnviertel,"2,05881994576737","2,2","2","2,2443909269"
Probstheida,Wohnviertel,"1,78140679313149","2,1","2","2,0440341523"
Meusdorf,Wohnviertel,"1,78812436941678","1,9","1,8","1,9210590128"
Liebertwolkwitz,Wohnviertel,"1,93082506490146","2,1","2","1,962787961"
Holzhausen,Wohnviertel,"1,802596884651","2","2","2,0818042136"
Südvorstadt,Wohnviertel,"1,78156500192224","1,9","1,9","1,9021579678"
Connewitz,Wohnviertel,"2,05914377515276","2,1","2,2","2,1723573713"
Marienbrunn,Wohnviertel,"1,72174073908067","1,8","1,8","1,8308137263"
Lößnig,Wohnviertel,"2,0080821022284","2","2,2","2,0846128765"
Dölitz-Dösen,Wohnviertel,"2,14839397826654","2","2","2,0710619013"
Schleußig,Wohnviertel,"1,84356625271404","1,7","1,7","1,8267313228"
Plagwitz,Wohnviertel,"1,96688943727772","2,1","1,8","1,8963435579"
Kleinzschocher,Wohnviertel,"2,29391702673707","2,3","2,4","2,3999718415"
Großzschocher,Wohnviertel,"2,15676571529464","2","2,1","2,2263771283"
Knautkleeberg-Knauthain,Wohnviertel,"1,87256158994717","1,9","2","1,9386018386"
Hartmannsdorf-Knautnaundorf,Wohnviertel,"2,23651566568974","2,4","2,3","2,1050952339"
Schönau,Wohnviertel,"2,25716448188778","2,5","2,4","2,202413483"
Grünau-Ost,Wohnviertel,"2,33952314612779","2,4","2,3","2,4431791893"
Grünau-Mitte,Wohnviertel,"2,3826149904751","2,4","2,7","2,6635520547"
Grünau-Siedlung,Wohnviertel,"2,13899604537658","2,1","2,2","2,0742917248"
Lausen-Grünau,Wohnviertel,"2,1296388504327","2,3","2,5","2,4611785045"
Grünau-Nord,Wohnviertel,"2,51239028550297","2,6","2,6","2,5245768985"
Miltitz,Wohnviertel,"1,87571643063914","1,9","1,8","1,9066212117"
Lindenau,Wohnviertel,"2,19282471678048","2,2","2,1","2,0915862179"
Altlindenau,Wohnviertel,"2,35491813644449","2,5","2,3","2,3041308592"
Neulindenau,Wohnviertel,"2,09312813939621","2,3","2,3","2,4389444767"
Leutzsch,Wohnviertel,"2,37968946436587","2,2","2,2","2,0790662069"
Böhlitz-Ehrenberg,Wohnviertel,"1,89872601018985","2","1,7","2,0289019659"
Burghausen-Rückmarsdorf,Wohnviertel,"1,95786818897792","1,8","1,9","1,7881135524"
Möckern,Wohnviertel,"2,48124377960268","2,5","2,4","2,5291527283"
Wahren,Wohnviertel,"2,03428556982192","2,3","2,1","2,3335232202"
Lützschena-Stahmeln,Wohnviertel,"1,91286433122979","2,5","2,2","2,0502414745"
Lindenthal,Wohnviertel,"1,87683721358918","2","2","2,1305967905"
Gohlis-Süd,Wohnviertel,"1,91107067199449","2","1,9","2,1047627077"
Gohlis-Mitte,Wohnviertel,"2,01380288182658","2","1,9","1,9971158166"
Gohlis-Nord,Wohnviertel,"2,06866263847214","2,1","2,4","2,3307191804"
Eutritzsch,Wohnviertel,"2,16838524714663","2,1","2,2","2,2212938013"
Seehausen,Wohnviertel,"1,87426412457428","2,1","2,1","2,0654563109"
Wiederitzsch,Wohnviertel,"2,03697083585858","1,9","2","2,0565647189"
Mitte,Wohnviertel,"1,90566268512018","2","2","1,9915790967"
Nordost,Wohnviertel,"2,39391557512174","2,5","2,4","2,4914524134"
Ost,Wohnviertel,"2,38276274563029","2,4","2,5","2,4179757662"
Südost,Wohnviertel,"2,11179495394853","2,2","2,1","2,1881236006"
Süd,Wohnviertel,"1,93974771872627","2","2,1","2,0237146704"
Südwest,Wohnviertel,"2,08914352827657","2","2,1","2,0098217624"
West,Wohnviertel,"2,28795576963835","2,5","2,5","2,5092853832"
Alt-West,Wohnviertel,"2,17955392555845","2,2","2,2","2,2362589219"
Nordwest,Wohnviertel,"2,15741201338707","2,3","2,2","2,4052997213"
Nord,Wohnviertel,"2,00506620177995","2","2","2,141435755"
