"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Lützschena-Stahmeln,Grundmiete,"0","0","0","0","0","0"
Lindenthal,Grundmiete,"5,55555555555556","5,60869565217391","5,6110174183355","5,98790194546743","5,47769375140097","6,60227272727273"
Gohlis-Süd,Grundmiete,"5,50724637681159","5,34883720930233","5,91759995355847","6","6,67275994137549","7"
Gohlis-Mitte,Grundmiete,"5","5,40384615384615","5,64613170944081","5,85999301264075","6,23946958488905","6,61764705882353"
Gohlis-Nord,Grundmiete,"5,18181818181818","5,30508474576271","5,06956514904872","5,43992497763355","5,64401315478161","6,22222222222222"
Eutritzsch,Grundmiete,"5","5,14705882352941","5,3348815942669","5,92332419578876","6,18236772749144","6,34920634920635"
Seehausen,Grundmiete,"5,13513513513514","0","0","6,44204579451049","0","6,42857142857143"
Wiederitzsch,Grundmiete,"5,29411764705882","5,88235294117647","0","6,15313283530298","0","0"
Mitte,Grundmiete,"5,45454545454545","5,60344827586207","5,89975226412612","6,49105551100674","7,14285714285714","7,5"
Nordost,Grundmiete,"4,78260869565217","4,89583333333333","5,10879692907469","5,34152378927071","5,58591647601843","5,84615384615385"
Ost,Grundmiete,"4,60714285714286","4,87878787878788","4,8404419402746","5,3005612424109","5,76845607383291","6,0327868852459"
Südost,Grundmiete,"4,84848484848485","4,98461538461538","5,29483908177412","5,5","6,22265499980216","6,66666666666667"
Süd,Grundmiete,"5,18823529411765","5,2","5,56273922232936","5,88173850342024","6,207585461122","6,33846153846154"
Südwest,Grundmiete,"5,01666666666667","5,08","5,51853926307285","5,98070284613842","6,3085897609323","7,04225352112676"
West,Grundmiete,"4,26470588235294","4,58928571428571","4,7286896595586","4,65908891559951","5,04826569213771","5,3956043956044"
Alt-West,Grundmiete,"4,81481481481482","5,11627906976744","5,3946076609789","5,58420332724333","6,13898698294914","6,74603174603175"
Nordwest,Grundmiete,"4,96774193548387","5,06666666666667","5,09109469557889","5,45454545454545","5,64480239176331","6,14035087719298"
Nord,Grundmiete,"5,17045454545455","5,33333333333333","5,5","5,94110068616788","6,12121258424749","6,57894736842105"
Stadt Leipzig,Grundmiete,"5","5,075","5,29411764705882","5,62232715624041","6,03","6,46666666666667"
Zentrum,Gesamtmiete,"8,6","8,4","9,57536507832112","10,0422318295669","10,3401508681117","10,4285714285714"
Zentrum-Ost,Gesamtmiete,"8,33823529411765","8,40579710144928","8,80439539545742","9,27870746683539","10,2590761089179","10,4901960784314"
Zentrum-Südost,Gesamtmiete,"7,4","7,66666666666667","7,86653441769256","9,00595177954717","8,99170097967854","9,5625"
Zentrum-Süd,Gesamtmiete,"7,70833333333333","7,91666666666667","8,6167534185112","9,12482833473024","8,62920207453255","9,49253731343284"
Zentrum-West,Gesamtmiete,"7,48979591836735","7,51666666666667","8,55889073872141","8,7218813485791","9,04333244766516","10"
Zentrum-Nordwest,Gesamtmiete,"7,63636363636364","7,79220779220779","8,47553531695128","8,92676596639911","9,05327172053472","9,94047619047619"
Zentrum-Nord,Gesamtmiete,"7,56","7,58536585365854","7,95565213824904","8,66666666666667","9,37971285035579","9,83783783783784"
Schönefeld-Abtnaundorf,Gesamtmiete,"6,66037735849057","6,72413793103448","7,20899163944236","7,5","7,77527306907651","8,6"
Schönefeld-Ost,Gesamtmiete,"6,66666666666667","6,97674418604651","7,24961462110304","7,32235227582173","7,6371958205364","7,78723404255319"
Mockau-Süd,Gesamtmiete,"7,06666666666667","7,16666666666667","7,28795960034321","7,43324575822296","7,70748648733593","8,16"
Mockau-Nord,Gesamtmiete,"6,72631578947368","7,28888888888889","7,08243319772398","7,39641940011158","7,51693739559224","7,90322580645161"
Thekla,Gesamtmiete,"7,18965517241379","7,39285714285714","7,67917884549241","7,76923376786623","7,73451409851086","8,28571428571429"
Plaußig-Portitz,Gesamtmiete,"0","0","0","0","0","0"
Neustadt-Neuschönefeld,Gesamtmiete,"6,625","6,66666666666667","7,1312540149346","7,68464539017391","8,2391322202571","8,84"
Volkmarsdorf,Gesamtmiete,"6,4","6,23595505617978","7,04270365829569","7,1414198843249","7,79045116264716","8,38709677419355"
Anger-Crottendorf,Gesamtmiete,"6,73076923076923","6,59420289855072","7,17705171531951","7,72060894640089","7,5213149538596","8,3015873015873"
Sellerhausen-Stünz,Gesamtmiete,"7,22972972972973","7,078125","7,82358374242396","7,4","7,62840134710178","8,08333333333333"
Paunsdorf,Gesamtmiete,"6,19565217391304","6,86792452830189","6,66666666666667","7,32227280757453","7,13827178016075","7,6125"
Heiterblick,Gesamtmiete,"7,69014084507042","7,94871794871795","8,06619957449898","8,33333333333333","8,96824118192056","8,98148148148148"
Mölkau,Gesamtmiete,"7,64634146341463","0","8,45836850242382","0","0","9,03846153846154"
Engelsdorf,Gesamtmiete,"7,38636363636364","7,26190476190476","7,85704244118883","7,56175207059291","8,40351204594596","8,63636363636364"
Baalsdorf,Gesamtmiete,"0","0","0","0","0","0"
Althen-Kleinpösna,Gesamtmiete,"6,13207547169811","0","7,25043597779566","7,5","0","0"
Reudnitz-Thonberg,Gesamtmiete,"6,76470588235294","7","7,33333333333333","7,49021968896617","8,31375609763801","9,23076923076923"
Stötteritz,Gesamtmiete,"6,92307692307692","6,89655172413793","7,57900825733833","7,75645092898544","8,11034053804297","8,69230769230769"
Probstheida,Gesamtmiete,"7,41463414634146","7,95","8,48948545916573","8,04355831096552","8,57095292476393","8,92405063291139"
Meusdorf,Gesamtmiete,"7,02702702702703","0","7,19877098894667","7,83727468812408","0","0"
Liebertwolkwitz,Gesamtmiete,"7","0","7,3683683386092","7,64057672345746","8,12621949370905","0"
Holzhausen,Gesamtmiete,"7,27272727272727","7,29166666666667","7,5","7,83711982919595","8,87719337324712","0"
Südvorstadt,Gesamtmiete,"7,35294117647059","7,64705882352941","8,07818653758735","8,57418369764397","8,88751701065467","9,28571428571429"
Connewitz,Gesamtmiete,"7,44578313253012","7,22222222222222","7,76637808574644","7,88824854154693","8,04782500170436","8,66666666666667"
Marienbrunn,Gesamtmiete,"7,41379310344828","7,84615384615385","7,90500374215665","8,32994141794223","8,81477786806588","8,47457627118644"
Lößnig,Gesamtmiete,"7,30263157894737","7,546875","7,83824384585828","7,60806037080133","7,98535927299858","8,38181818181818"
Dölitz-Dösen,Gesamtmiete,"7,15","7,31707317073171","7,54075156578007","8,10774088704853","8,190083693756","8,62903225806452"
Schleußig,Gesamtmiete,"7,58620689655172","7,66666666666667","8,0058926133702","8,229091063033","9,44036599960295","9,41666666666667"
Plagwitz,Gesamtmiete,"7,41304347826087","7,64","7,98901704860152","8,35727828595789","8,57182507137777","10,0833333333333"
Kleinzschocher,Gesamtmiete,"6,85714285714286","7,11290322580645","7,21013051903694","7,77164320352136","8,04218069491603","8,37254901960784"
Großzschocher,Gesamtmiete,"7,1875","6,86274509803922","7,46910450959026","7,77409870287447","8,02796117757479","8,33333333333333"
Knautkleeberg-Knauthain,Gesamtmiete,"0","7,2463768115942","0","0","0","0"
Hartmannsdorf-Knautnaundorf,Gesamtmiete,"0","0","0","0","0","0"
Schönau,Gesamtmiete,"6,36363636363636","6,90625","6,80352184047613","7,08845330471267","7,41093636181708","8,45454545454546"
Grünau-Ost,Gesamtmiete,"6,66666666666667","6,88524590163934","7,10556685586204","7,01864436664732","7,1638752965532","7,675"
Grünau-Mitte,Gesamtmiete,"6,45833333333333","6,57142857142857","6,86886133213876","7,05051671225046","7,14285714285714","7,63888888888889"
Grünau-Siedlung,Gesamtmiete,"6,77083333333333","6,875","0","0","0","0"
Lausen-Grünau,Gesamtmiete,"6,61111111111111","6,90140845070423","6,8210144503016","7,04212211839022","7,40806605038696","8"
Grünau-Nord,Gesamtmiete,"6,3","6,33707865168539","6,69744855521813","6,49089592295677","6,87911338170823","7,20408163265306"
Miltitz,Gesamtmiete,"7,09090909090909","7,425","7,02683114775249","7,9265592795129","0","8,75912408759124"
Lindenau,Gesamtmiete,"6,875","7,11538461538462","7,55312185504708","7,84844888867753","8,42405612803852","9,30769230769231"
Altlindenau,Gesamtmiete,"6,88888888888889","7,07368421052632","7,44156271141434","7,65048771504711","8,31053476108145","8,8"
Neulindenau,Gesamtmiete,"7,21739130434783","7,78461538461538","7,64717638795871","7,66996858078878","7,86186704620665","8,44444444444444"
Leutzsch,Gesamtmiete,"6,92307692307692","7,03125","7,8030303030303","7,86118405109175","8","8,18840579710145"
Böhlitz-Ehrenberg,Gesamtmiete,"7,55555555555556","7,49019607843137","7,96632676416554","8,149268556323","8,00229078071866","8,87096774193548"
Burghausen-Rückmarsdorf,Gesamtmiete,"7,8125","0","0","8,33630357402892","0","8,46153846153846"
Möckern,Gesamtmiete,"6,89830508474576","7,24489795918367","7,62716330809647","7,5175747604088","7,8382273265975","8,12"
Wahren,Gesamtmiete,"7,40816326530612","7,29090909090909","7,74024828385088","8,20470214627939","8,92326658622822","8,80434782608696"
Lützschena-Stahmeln,Gesamtmiete,"7,36363636363636","0","0","0","0","8,9041095890411"
Lindenthal,Gesamtmiete,"7,6271186440678","7,60869565217391","7,65547676044816","8,12086702548975","8,57187782570721","9"
Gohlis-Süd,Gesamtmiete,"7,55555555555556","7,34883720930233","8,19626281826552","8,09859396650037","8,4642699062943","9,43396226415094"
Gohlis-Mitte,Gesamtmiete,"7,06521739130435","7,5","7,81547574771222","8,06882674320446","8,46310133325038","9,0625"
Gohlis-Nord,Gesamtmiete,"7,22222222222222","7,35593220338983","7,27310665048967","7,76823363602563","8,28567196161029","8,0875"
Eutritzsch,Gesamtmiete,"6,96296296296296","7,14285714285714","7,53704862426759","7,78930726547565","7,98271006150313","8,80952380952381"
Seehausen,Gesamtmiete,"7,5","7","0","8,80616578665355","0","8,75"
Wiederitzsch,Gesamtmiete,"7,27272727272727","7,58928571428571","0","8,448401375765","0","0"
Mitte,Gesamtmiete,"7,56","7,69230769230769","8,33371573318493","9,12131382025311","9,4362755539398","10"
