"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Neulindenau,Abitur,"16,2017818722746","21,4527082515276","28,4902456673617","28,6771026535465","32,6557305673591","34,4370593924801"
Leutzsch,Abitur,"19,8832660163588","25,8296358989476","44,4162865702628","38,209711731185","46,7248436906837","52,7780571131051"
Böhlitz-Ehrenberg,Abitur,"21,6568950770962","27,558219610898","35,5028060881347","37,9062580944348","35,04864767146","32,1673603255551"
Burghausen-Rückmarsdorf,Abitur,"23,5364558079048","28,4059052963545","38,4792679895428","28,7081788071116","38,6874725254599","27,9254867698"
Möckern,Abitur,"20,3806541510033","18,7286841226357","38,4583776708256","31,5512206805174","38,4121208412156","39,7439919763907"
Wahren,Abitur,"26,3431203090875","23,3048588869495","34,7984599123894","23,9117589173865","46,2016288911203","31,3610287802592"
Lützschena-Stahmeln,Abitur,"19,8737665323423","26,8316341784611","27,7887142253426","28,1794324282162","46,4491555944449","37,9986310424115"
Lindenthal,Abitur,"18,3420063464965","28,4549723423902","29,1963762121272","27,4034624660956","28,8283017725456","26,3633682577453"
Gohlis-Süd,Abitur,"42,7027410657549","50,1361206282041","54,4287324296044","60,7948919006453","65,098286092597","60,1320166064376"
Gohlis-Mitte,Abitur,"34,5414707161913","45,7517187476045","49,2031737259861","44,1441998623405","57,131445878876","56,4887143471997"
Gohlis-Nord,Abitur,"20,1450829920389","21,8323825666535","36,7373599954253","28,4997812775617","34,9534945278763","40,8703326681703"
Eutritzsch,Abitur,"30,3573616314026","26,7655342040664","34,3118862004215","38,4358376691509","31,6025649002029","45,1090043860011"
Seehausen,Abitur,"18,1170845535336","25,6611033822652","35,1301461878246","32,258723749782","33,4455453884877","25,808215137107"
Wiederitzsch,Abitur,"25,6307348952142","27,6775162495557","25,2650022255061","31,6030131216594","33,200918239885","33,4474033515052"
Mitte,Abitur,"49,7377940569022","55,4441713374353","54,0594997411584","56,8843823646271","60,1870797401784","59,3851399795398"
Nordost,Abitur,"19,1294667226857","19,1996278627451","20,7010336035625","23,3418255773911","27,1217947168222","25,4058937447764"
Ost,Abitur,"22,6307044488306","21,4048318677142","30,4696682254942","34,8251791518444","38,9307414621266","38,6347345574078"
Südost,Abitur,"29,4946160211808","34,255504578139","36,8047389265826","41,1545273136672","44,0832365057699","50,0609649647172"
Süd,Abitur,"43,3024105959417","41,8085934417776","41,8418551191599","50,3590839511238","45,0668743679566","50,6512849937479"
Südwest,Abitur,"36,372297485417","38,6892493261623","40,1775836044181","45,9469803426021","46,36236482021","47,0543660850947"
West,Abitur,"15,4419275331391","14,9568881764832","17,1201146421603","15,2184431938094","16,2980053446803","17,8638782155841"
Alt-West,Abitur,"22,8813955246159","31,8195154602736","37,2808071701204","38,5206165270194","43,6593817695786","47,273499362464"
Nordwest,Abitur,"15,7784429936176","24,5226586636918","27,0216708484032","21,4946751330225","27,8342133284372","26,7609044611677"
Nord,Abitur,"31,2968630180047","36,1498779526185","33,6332590550935","35,8424012976239","39,2474637794051","42,0856934814019"
Stadt Leipzig,Abitur,"29,627188294144","32,5639524566613","34,6142413770502","37,8703791171425","40,5500718320262","42,3821358244575"
Zentrum,Fachabitur,"6,52896062165039","8,09715988136855","4,56712977451156","5,59419279060574","11,3960546348532","14,7870886246352"
Zentrum-Ost,Fachabitur,"8,61373235708236","6,65725437212138","10,3199732536186","4,72006223101466","1,72189937142605","14,2307272968347"
Zentrum-Südost,Fachabitur,"9,65878122750872","7,44199758647466","14,4401117545025","8,97072281133707","9,93795005538151","13,7749918738829"
Zentrum-Süd,Fachabitur,"5,05789689453167","8,76835813904859","13,2759031710874","13,729983360996","9,83994279785276","8,88248284991572"
Zentrum-West,Fachabitur,"8,10429114239099","5,48431499049464","16,4192229204168","11,3792250726834","7,30333232658814","10,7286034063618"
Zentrum-Nordwest,Fachabitur,"8,44655712423859","9,51670474504854","8,89363242068616","10,5033758254437","10,9380333245354","9,15509791567075"
Zentrum-Nord,Fachabitur,"5,58366436243555","18,4097963935691","7,06835873318161","20,9846760327306","16,3086037917196","6,40557171848658"
Schönefeld-Abtnaundorf,Fachabitur,"4,93532913269949","2,57434246641359","4,89748591663776","10,9141563885385","10,1499590274038","14,9581904551908"
Schönefeld-Ost,Fachabitur,"9,65435799916084","6,2144219749356","12,451638431053","9,58961097007843","9,01002763617738","7,26405709025436"
Mockau-Süd,Fachabitur,"5,01564111699567","6,69050866900957","8,3086207780355","10,8954328868914","4,5645188567563","6,24477196634319"
Mockau-Nord,Fachabitur,"6,77035060126898","9,74837212909842","6,32528184570663","10,8751124998206","14,2486096384244","11,8811060873018"
Thekla,Fachabitur,"3,2842425015432","11,0669262670147","8,81093190433535","8,48710282522539","16,4977348516062","5,15056102555462"
Plaußig-Portitz,Fachabitur,"6,59501496775689","6,55025194316877","15,3441637279826","12,6353257232158","7,55036294889266","13,3103114843638"
Neustadt-Neuschönefeld,Fachabitur,"11,494744286492","2,40696920945358","5,82199152460759","7,90287775709556","13,8774397493564","12,4115618470736"
Volkmarsdorf,Fachabitur,"4,58750014388679","10,6966961929735","6,29533091425872","6,46266765091692","11,4435856006161","8,0254657357182"
Anger-Crottendorf,Fachabitur,"4,81687745359324","9,56677300647514","10,8315485599792","11,1837401099256","11,7275728819716","11,4161580064124"
Sellerhausen-Stünz,Fachabitur,"4,42861219806376","12,2402624454252","16,4219168966395","9,91544034720466","8,06362127661134","14,7419888423775"
Paunsdorf,Fachabitur,"2,90982644925323","4,70340859200056","7,72210524771312","7,12143057080505","15,0855006928742","6,96137555057008"
Heiterblick,Fachabitur,"6,80112264139555","9,01496526033004","15,6252252045383","12,0980212384034","10,7605838155204","9,88092905862825"
Mölkau,Fachabitur,"2,25815620749142","7,00645195036184","8,44008750297062","9,49022278964332","15,6140209969881","18,4705299759419"
Engelsdorf,Fachabitur,"5,548361048943","8,09429755316437","11,6007674541104","9,44402942417454","7,13702360519776","3,78685774548462"
Baalsdorf,Fachabitur,"4,53384829278392","5,69473434882079","13,2861148841544","8,15344805931659","10,852518935394","6,62155596154969"
Althen-Kleinpösna,Fachabitur,"8,54194227145378","3,49100736320271","11,7667204471514","12,0283248734969","14,2507037589005","10,9167220882026"
Reudnitz-Thonberg,Fachabitur,"8,38519729978147","5,15055880735961","9,3381577691406","11,0316748713447","10,5314107676868","4,4832374953871"
Stötteritz,Fachabitur,"9,55482418574082","5,6327203193527","9,30056110816242","16,8268132959631","14,1657647078797","8,55344938060491"
Probstheida,Fachabitur,"10,223782316167","7,87540311043762","10,035430232084","6,41694208290493","12,090440514494","5,27113941157615"
Meusdorf,Fachabitur,"4,54527708906875","9,34444941024279","5,44129981541444","15,3479411106229","11,1017029887243","10,2888410135057"
Liebertwolkwitz,Fachabitur,"8,50219507191291","7,45443472739021","11,7783494612763","11,7516956746049","11,1134442547062","14,461983364303"
Holzhausen,Fachabitur,"7,14702427577039","9,14043117188213","10,637714539655","7,83126882789003","13,1769913666532","12,872020466373"
Südvorstadt,Fachabitur,"5,39389879001681","8,53702013806557","14,2811760791396","11,1374785469277","14,0955523933568","13,6051244305315"
Connewitz,Fachabitur,"6,95716815026746","13,3382373523566","12,6563798044337","6,69741738834629","13,3991925117283","11,5429513669095"
Marienbrunn,Fachabitur,"9,23584844344575","4,51763948291046","10,8668334942729","7,79730081953382","5,93032485410497","11,0183137085697"
Lößnig,Fachabitur,"6,40517420199329","4,93187058698917","14,0982182776362","12,5674872178761","6,29040163104095","13,280506926537"
Dölitz-Dösen,Fachabitur,"13,5556751757783","12,4415088591542","8,18030798057112","13,01608758752","12,4170897652923","10,1488536575539"
Schleußig,Fachabitur,"8,47392031559595","3,49937218476695","10,9163268770801","4,86701581845689","16,735449127823","14,4996611714035"
Plagwitz,Fachabitur,"12,3328848488474","9,12803702979033","9,49103210001016","14,3533071055583","12,6797719776616","13,6808796867178"
Kleinzschocher,Fachabitur,"8,49792315219388","10,4411809367057","3,32202326391988","7,51311530210048","10,4910754928412","6,07355483972987"
Großzschocher,Fachabitur,"4,51715634017831","1,058969013748","4,00563974924449","9,73204019298878","10,5044381039276","20,69412876613"
Knautkleeberg-Knauthain,Fachabitur,"2,72437842888207","9,17289346383562","11,6731506273567","12,709378910557","13,6399211258562","8,14494596337538"
Hartmannsdorf-Knautnaundorf,Fachabitur,"5,70088608661531","5,30954924626675","16,4345652351442","12,5577854612417","9,51838638175125","13,3509854407244"
Schönau,Fachabitur,"4,45910947581503","9,42592403142355","14,4036511285922","16,1660938435894","13,8880731000843","15,4635529000643"
Grünau-Ost,Fachabitur,"5,00653161896116","3,42220348973275","11,1555866346005","7,69460063293674","12,573009303619","8,49157386014688"
