"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Altlindenau,Wohneigentum,"4,71346218611449","3,919958626464","1,24868885268181","2,33748742903303","5,29512395426889","9,54291658699175"
Neulindenau,Wohneigentum,"6,34790887585593","1,83018747057725","2,73969738266209","2,85534398195578","5,26997887080679","3,64359083841549"
Leutzsch,Wohneigentum,"6,48135592746394","9,94732930896389","17,2326973704029","16,5957900564113","17,127818880051","18,3317724285148"
Böhlitz-Ehrenberg,Wohneigentum,"24,3022479718711","31,7825714040026","30,3968839364373","38,7693491813851","38,2852596391304","30,996553884195"
Burghausen-Rückmarsdorf,Wohneigentum,"50,4289984065341","51,9667343863613","56,2632381360443","61,246573299298","68,0388635761754","62,9149158427313"
Möckern,Wohneigentum,"9,90448319084694","9,190422185788","9,31807089180909","9,02542624656441","15,9402275647708","13,3093112591172"
Wahren,Wohneigentum,"20,9422147075363","23,9981128039875","39,7562246212421","16,1037046501645","29,2801837401276","22,7050716874513"
Lützschena-Stahmeln,Wohneigentum,"55,6756338182019","50,6763675234367","62,5048510799411","75,3735515197337","71,1213062581735","61,1904427967192"
Lindenthal,Wohneigentum,"24,5197449446981","38,2939419934573","35,8736642325011","46,8390330817853","53,3767936848295","42,5176020681955"
Gohlis-Süd,Wohneigentum,"6,11216945462089","9,12409544507379","7,62784203882889","15,8425246785397","8,93145180805258","5,03771057734129"
Gohlis-Mitte,Wohneigentum,"8,44076824055011","4,33879744771915","8,28923190411125","13,8627503310947","11,1221085233841","13,7580633780011"
Gohlis-Nord,Wohneigentum,"5,3333345786245","4,69055060116882","4,94146838397201","8,39052780163481","14,5916057458805","5,19948693210077"
Eutritzsch,Wohneigentum,"7,96445149552374","7,21246736795592","6,96903450185724","13,1304452541206","17,8312516140939","13,0208916539807"
Seehausen,Wohneigentum,"48,4060814762008","41,7985935849505","57,3710342375332","46,7822634824418","63,4089951811551","60,3695053299796"
Wiederitzsch,Wohneigentum,"55,2812305849718","42,9401817112985","59,8566653117985","44,3826561205889","73,8771596613506","58,4255551523005"
Mitte,Wohneigentum,"2,97361394330106","3,0801753384265","3,67848504800973","5,55150222781882","6,49827740209653","6,57408667265138"
Nordost,Wohneigentum,"17,0426904096416","11,9187782311729","10,5912128647977","16,0992601516806","21,7754132972741","13,6342343832756"
Ost,Wohneigentum,"13,1183468458964","14,0528190387397","14,0759951419758","14,7322584081621","17,7580878483653","13,5954860410765"
Südost,Wohneigentum,"14,8559411163785","18,8945465183979","15,4534848636926","18,8568132090153","18,7937954270668","21,3817305814925"
Süd,Wohneigentum,"6,30461501053476","9,50736752197275","9,35738245511908","10,9467497771158","12,9048740114485","11,2099194294423"
Südwest,Wohneigentum,"14,3328457747364","15,9103828814958","16,2833519598131","17,4805292375961","20,6495972112215","18,7508046989616"
West,Wohneigentum,"9,33126164884186","12,5767264083001","8,66360805621547","10,5125637519065","11,9597908241879","8,50187784694538"
Alt-West,Wohneigentum,"14,6136517591151","13,9630522702605","12,0030323342506","12,6514583065623","19,2989589045597","14,7762936040192"
Nordwest,Wohneigentum,"15,1099353781753","23,6549381958332","25,9602247132175","23,0762201485059","29,4055404763485","20,7089139220445"
Nord,Wohneigentum,"12,5974770937732","12,238205012955","14,2638139262595","13,6014657020601","17,4350520227712","14,2724640078819"
Stadt Leipzig,Wohneigentum,"11,5705522120654","13,0277773037315","12,2752500093191","13,7377263513099","17,0174307896273","13,8429895734184"
Zentrum,Wohndauer,"25,5355760936709","17,3917795488896","24,0884153290015","9,94114710073237","9,86039261625067","12,0448247447135"
Zentrum-Ost,Wohndauer,"26,5677680441505","20,1389598539677","24,1382101008847","7,20116677132053","7,7557254268258","7,18674790288257"
Zentrum-Südost,Wohndauer,"28,7831450182761","18,5586584243538","21,865160078143","7,9366481382978","7,42641087458049","10,2022694185822"
Zentrum-Süd,Wohndauer,"27,4015313255838","19,8832931294453","22,1148510963537","10,9369309097285","10,9397606216828","11,2656408700675"
Zentrum-West,Wohndauer,"27,9615589104019","20,2952598122965","24,0037692509106","8,02946538854851","8,36239215370125","10,6739229333424"
Zentrum-Nordwest,Wohndauer,"20,751681527575","20,5330044251068","19,6750461229384","7,74113445541002","7,20717255810639","8,5236019889071"
Zentrum-Nord,Wohndauer,"30,1340217549399","22,833244466384","27,1805080110247","8,20457187203132","10,9622816331535","10,1395556722975"
Schönefeld-Abtnaundorf,Wohndauer,"31,9338385619095","26,5271846000476","27,0008642695959","10,1357839487989","8,72707804709389","10,6127323854041"
Schönefeld-Ost,Wohndauer,"46,3879739847297","42,7736798009978","43,0930141589445","17,6530580381783","17,6477681163107","18,9797234517067"
Mockau-Süd,Wohndauer,"39,2294063393432","35,2317722434304","35,7153742581943","12,9804262562875","11,7010402096441","13,1637744263444"
Mockau-Nord,Wohndauer,"42,1439377723952","38,7483318154236","41,4907892681796","17,2808221928492","18,1799543605144","18,5000274365193"
Thekla,Wohndauer,"44,4541361983876","38,7682707031126","44,2432461883834","15,3421646598079","18,5036812966329","16,937272660462"
Plaußig-Portitz,Wohndauer,"42,2355476690671","40,3757057015","38,2548248446687","20,297793059425","26,4531446447488","19,8330862080969"
Neustadt-Neuschönefeld,Wohndauer,"25,4672274403249","16,3217739807828","14,9255029988497","7,2596481325043","6,53169953405822","6,69598837144458"
Volkmarsdorf,Wohndauer,"25,1633260719258","22,8894475631018","20,2143706554728","5,74805432485453","7,15658244869209","5,90644130552535"
Anger-Crottendorf,Wohndauer,"29,72062950561","22,8102345367486","24,3006772256693","9,96416802771299","9,29230152596987","13,5093741845034"
Sellerhausen-Stünz,Wohndauer,"40,6548591448427","39,4474238328769","37,8152955853803","15,7793415831498","12,7820050332268","17,3872624023203"
Paunsdorf,Wohndauer,"40,9585039090228","30,7151049997278","37,8443089858201","11,090858051897","11,7656290643687","14,4986925291203"
Heiterblick,Wohndauer,"41,9516478593527","35,525586651537","40,8412944895965","10,5329323976999","12,3279118609921","14,5138032144156"
Mölkau,Wohndauer,"41,5487433121441","42,9676120482052","43,6904883072793","18,8180949169478","15,7014783709222","19,6513336189279"
Engelsdorf,Wohndauer,"37,4082574582886","31,6968055699515","39,0942378691367","12,3328693989405","13,3689605444798","14,7919273200932"
Baalsdorf,Wohndauer,"40,9714032281935","33,2100170925048","38,458237822367","16,7371902113107","15,2841879528638","19,7121879499689"
Althen-Kleinpösna,Wohndauer,"33,541912984145","27,0545783992598","34,7118795656183","14,7371699009535","16,3299119967693","16,8468455386329"
Reudnitz-Thonberg,Wohndauer,"26,2714257443982","20,4640716945785","22,4743025239964","10,027662869725","9,42652634140753","7,13111689031286"
Stötteritz,Wohndauer,"34,4437618909171","24,0131757641352","26,6146486099507","8,85941794442024","8,68832255305627","11,078069672165"
Probstheida,Wohndauer,"41,4342271069827","31,7549732323366","35,9224602299589","9,67194228086818","11,9309689677203","15,1902057788749"
Meusdorf,Wohndauer,"42,2454306920386","35,2927720268449","38,3214290916829","17,0895236317437","23,6984937464672","24,8976510784498"
Liebertwolkwitz,Wohndauer,"38,9838013185195","31,9418822506227","42,4131878646078","17,5733346803972","16,7361892708848","17,8050208226851"
Holzhausen,Wohndauer,"42,4072367869912","35,4732690540272","37,1795779266362","14,19213902509","17,8195617506351","20,6009055896398"
Südvorstadt,Wohndauer,"25,2613886298542","19,7796548693004","22,3162934920461","7,59423055997535","8,2683763784984","12,4155927564973"
Connewitz,Wohndauer,"28,0597550184233","24,6437022789055","22,5586068254951","8,86297490909598","7,84205640027575","11,4186531697494"
Marienbrunn,Wohndauer,"44,8988568179643","37,0179635421066","41,3360594929494","13,1505153010768","18,1511521148957","18,8442136822189"
Lößnig,Wohndauer,"39,5692266451444","39,004597070058","38,3602270942211","15,7204040083941","13,5405189434174","19,840199495708"
Dölitz-Dösen,Wohndauer,"36,3649749003118","29,1871080333699","33,7538357728153","11,9847270878916","13,7739535659877","15,107463126675"
Schleußig,Wohndauer,"25,4616450341421","19,2866259705759","20,7970679032348","7,06262343061482","8,93729542331278","9,11000644205092"
Plagwitz,Wohndauer,"26,3225885266214","18,1581354941468","22,3067110044426","5,38823610043833","6,26335633736192","6,61337862199771"
Kleinzschocher,Wohndauer,"36,5297718774288","29,2700429152323","31,5046086756384","10,1210142252197","8,83233890330069","8,79938848135142"
Großzschocher,Wohndauer,"45,046587201435","40,3893940411238","41,4487674709526","14,9821460640318","13,6288333431197","17,1985699693565"
Knautkleeberg-Knauthain,Wohndauer,"41,525208415691","35,2373914158247","40,2944179520304","15,9575267635698","16,7233394107435","17,6072645513644"
Hartmannsdorf-Knautnaundorf,Wohndauer,"37,6098483831796","35,4939707593335","37,8966957809668","17,4619932817005","20,0186932566198","21,4546174207486"
